"","geoname","year","DO","county","INCPC","popdens"
"219","ARBD",2012,8.54934210526316,"Armstrong, PA","a","a"
"220","ARBD",2013,8.76648351648352,"Armstrong, PA","a","a"
"221","ARBD",2014,9.14213483146067,"Armstrong, PA","a","a"
"222","ARBD",2015,8.88587570621469,"Armstrong, PA","a","a"
"223","ARBD",2016,8.25438596491228,"Armstrong, PA","a","a"
"232","ARCWBY",2011,8.28742857142857,"Westmoreland, PA","a","a"
"233","ARCWBY",2012,8.16603773584906,"Westmoreland, PA","a","a"
"234","ARCWBY",2013,8.38,"Westmoreland, PA","a","a"
"235","ARCWBY",2014,9.30467289719626,"Westmoreland, PA","a","a"
"236","ARCWBY",2015,8.46612021857923,"Westmoreland, PA","a","a"
"237","ARCWBY",2016,7.64891304347826,"Westmoreland, PA","a","a"
"239","SFTCJ",2011,9.03481481481482,"Greene, PA","a","a"
"240","SFTCJ",2012,9.11157894736842,"Greene, PA","a","a"
"241","SFTCJ",2013,8.8010582010582,"Greene, PA","a","a"
"242","SFTCJ",2014,8.89103773584906,"Greene, PA","a","a"
"243","SFTCJ",2015,8.87877358490566,"Greene, PA","a","a"
"244","SFTCJ",2016,8.25058139534884,"Greene, PA","a","a"
"252","MRE",2011,8.01704545454546,"Allegheny, PA","a","a"
"253","MRE",2012,7.86174863387978,"Allegheny, PA","a","a"
"254","MRE",2013,8.23035714285714,"Allegheny, PA","a","a"
"255","MRE",2014,8.64257425742574,"Allegheny, PA","a","a"
"256","MRE",2015,8.28415300546448,"Allegheny, PA","a","a"
"257","MRE",2016,8.52442396313364,"Allegheny, PA","a","a"
"259","YRDOT",2011,7.5879781420765,"Somerset, PA","a","a"
"260","YRDOT",2012,7.73114754098361,"Somerset, PA","a","a"
"261","YRDOT",2013,7.57527472527473,"Somerset, PA","a","a"
"262","YRDOT",2014,7.82994011976048,"Somerset, PA","a","a"
"263","YRDOT",2015,7.45111111111111,"Somerset, PA","a","a"
"264","YRDOT",2016,7.51785714285714,"Somerset, PA","a","a"
"273","YRBC",2011,8.8,"Fayette, PA","a","a"
"274","YRBC",2012,8.58787878787879,"Fayette, PA","a","a"
"275","YRBC",2013,8.81910828025478,"Fayette, PA","a","a"
"276","YRBC",2014,8.68924050632911,"Fayette, PA","a","a"
"277","YRBC",2015,8.57514124293785,"Fayette, PA","a","a"
"278","YRBC",2016,8.79021739130435,"Fayette, PA","a","a"
"286","YRAS",2011,8.91257142857143,"Allegheny, PA","a","a"
"287","YRAS",2012,8.46125,"Allegheny, PA","a","a"
"288","YRAS",2013,8.82222222222222,"Allegheny, PA","a","a"
"289","YRAS",2014,9.25251396648045,"Allegheny, PA","a","a"
"290","YRAS",2015,8.74860335195531,"Allegheny, PA","a","a"
"291","YRAS",2016,9.51492537313433,"Allegheny, PA","a","a"
"293","BRW",2011,8.32211055276382,"Lawrence, PA","a","a"
"294","BRW",2012,7.49367088607595,"Lawrence, PA","a","a"
"295","BRW",2013,8.47107843137255,"Lawrence, PA","a","a"
"296","BRW",2014,8.48520408163265,"Lawrence, PA","a","a"
"297","BRW",2015,8.06941747572816,"Lawrence, PA","a","a"
"298","BRW",2016,7.80291262135922,"Lawrence, PA","a","a"
"300","CCZ",2011,9.2286432160804,"Beaver, PA","a","a"
"301","CCZ",2012,8.48622754491018,"Beaver, PA","a","a"
"302","CCZ",2013,8.99829545454545,"Beaver, PA","a","a"
"303","CCZ",2014,9.40098039215686,"Beaver, PA","a","a"
"304","CCZ",2015,8.90434782608696,"Beaver, PA","a","a"
"305","CCZ",2016,8.5878640776699,"Beaver, PA","a","a"
"313","ORMDL",2011,8.91656441717791,"Beaver, PA","a","a"
"314","ORMDL",2012,8.84306220095694,"Beaver, PA","a","a"
"315","ORMDL",2013,8.89617486338798,"Beaver, PA","a","a"
"316","ORMDL",2014,9.27282608695652,"Beaver, PA","a","a"
"317","ORMDL",2015,8.65168539325843,"Beaver, PA","a","a"
"318","ORMDL",2016,8.93521126760563,"Beaver, PA","a","a"
"321","WCUPE",2011,9.05125,"Erie, PA","a","a"
"322","WCUPE",2012,10.1556561085973,"Erie, PA","a","a"
"323","WCUPE",2013,10.2867346938776,"Erie, PA","a","a"
"324","WCUPE",2014,9.76073298429319,"Erie, PA","a","a"
"325","WCUPE",2015,9.43939393939394,"Erie, PA","a","a"
"326","WCUPE",2016,9.35978260869565,"Erie, PA","a","a"
