,geoname,year,incper,poptot,area,popdens
115,"Crawford, PA",2011,33077,88104,2688,32.77678571
116,"Crawford, PA",2012,33839,87675,2688,32.6171875
117,"Crawford, PA",2013,34399,87435,2688,32.52790179
118,"Crawford, PA",2014,35786,87128,2688,32.41369048
119,"Crawford, PA",2015,36543,86638,2688,32.23139881
120,"Crawford, PA",2016,36975,86257,2688,32.08965774
121,"Cumberland, PA",2011,44675,236891,1427,166.0063069
122,"Cumberland, PA",2012,46819,239217,1427,167.6362999
123,"Cumberland, PA",2013,47224,241265,1427,169.0714786
124,"Cumberland, PA",2014,49003,243689,1427,170.7701472
125,"Cumberland, PA",2015,50640,246513,1427,172.749124
126,"Cumberland, PA",2016,51384,248506,1427,174.1457603
127,"Dauphin, PA",2011,42041,269059,1445,186.2
128,"Dauphin, PA",2012,43160,269961,1445,186.8242215
129,"Dauphin, PA",2013,43509,271259,1445,187.7224913
130,"Dauphin, PA",2014,44985,271977,1445,188.2193772
131,"Dauphin, PA",2015,46837,272904,1445,188.8608997
132,"Dauphin, PA",2016,47864,273707,1445,189.416609
133,"Delaware, PA",2011,50869,559094,495,1129.482828
134,"Delaware, PA",2012,53088,560834,495,1132.99798
135,"Delaware, PA",2013,53376,561439,495,1134.220202
136,"Delaware, PA",2014,55705,562582,495,1136.529293
137,"Delaware, PA",2015,58119,563321,495,1138.022222
138,"Delaware, PA",2016,59594,563402,495,1138.185859
139,"Elk, PA",2011,39780,31796,2155,14.75452436
140,"Elk, PA",2012,40143,31627,2155,14.67610209
141,"Elk, PA",2013,40213,31431,2155,14.58515081
142,"Elk, PA",2014,42628,31139,2155,14.44965197
143,"Elk, PA",2015,43399,30879,2155,14.32900232
144,"Elk, PA",2016,44772,30480,2155,14.14385151
145,"Erie, PA",2011,36753,281197,2069,135.9096182
146,"Erie, PA",2012,37866,281541,2069,136.0758821
147,"Erie, PA",2013,37626,280613,2069,135.6273562
148,"Erie, PA",2014,38808,279251,2069,134.9690672
149,"Erie, PA",2015,40186,278052,2069,134.3895602
150,"Erie, PA",2016,40764,276207,2069,133.497825
151,"Fayette, PA",2011,34613,136032,2067,65.81132075
152,"Fayette, PA",2012,35447,135464,2067,65.53652637
153,"Fayette, PA",2013,35791,134867,2067,65.24770198
154,"Fayette, PA",2014,36803,134376,2067,65.01015965
155,"Fayette, PA",2015,38085,133704,2067,64.6850508
156,"Fayette, PA",2016,38960,132733,2067,64.21528786
157,"Forest, PA",2011,21524,7734,1116,6.930107527
158,"Forest, PA",2012,22243,7655,1116,6.859318996
159,"Forest, PA",2013,23075,7572,1116,6.784946237
160,"Forest, PA",2014,24201,7499,1116,6.71953405
161,"Forest, PA",2015,23951,7420,1116,6.64874552
162,"Forest, PA",2016,24639,7321,1116,6.560035842
163,"Franklin, PA",2011,37809,151014,1997,75.62043065
164,"Franklin, PA",2012,38564,151575,1997,75.90135203
165,"Franklin, PA",2013,39048,152063,1997,76.14571858
166,"Franklin, PA",2014,40687,152751,1997,76.49023535
167,"Franklin, PA",2015,41668,153295,1997,76.76264397
168,"Franklin, PA",2016,42275,153851,1997,77.04106159
169,"Fulton, PA",2011,32557,14773,1134,13.02733686
170,"Fulton, PA",2012,33502,14749,1134,13.00617284
171,"Fulton, PA",2013,34014,14668,1134,12.93474427
172,"Fulton, PA",2014,35921,14604,1134,12.87830688
173,"Fulton, PA",2015,36869,14605,1134,12.87918871
174,"Fulton, PA",2016,37026,14640,1134,12.91005291
175,"Greene, PA",2011,37041,38418,14497,2.650065531
176,"Greene, PA",2012,39719,38063,14497,2.625577706
177,"Greene, PA",2013,41402,37862,14497,2.611712768
178,"Greene, PA",2014,44703,37783,14497,2.606263365
179,"Greene, PA",2015,43816,37438,14497,2.582465338
180,"Greene, PA",2016,42565,37197,14497,2.565841209
181,"Huntingdon, PA",2011,32564,46130,2302,20.03909644
182,"Huntingdon, PA",2012,32966,46052,2302,20.00521286
183,"Huntingdon, PA",2013,33155,45949,2302,19.96046916
184,"Huntingdon, PA",2014,34624,45866,2302,19.92441355
185,"Huntingdon, PA",2015,36083,45721,2302,19.86142485
186,"Huntingdon, PA",2016,37077,45634,2302,19.82363162
187,"Indiana, PA",2011,32848,88575,2160,41.00694444
188,"Indiana, PA",2012,33494,88255,2160,40.8587963
189,"Indiana, PA",2013,33257,88264,2160,40.86296296
190,"Indiana, PA",2014,34492,87597,2160,40.55416667
191,"Indiana, PA",2015,34868,86977,2160,40.26712963
192,"Indiana, PA",2016,35482,86364,2160,39.98333333
193,"Jefferson, PA",2011,35906,44930,1702,26.39835488
194,"Jefferson, PA",2012,36126,44839,1702,26.34488837
195,"Jefferson, PA",2013,36157,44946,1702,26.40775558
196,"Jefferson, PA",2014,37235,44605,1702,26.20740306
197,"Jefferson, PA",2015,38073,44410,1702,26.09283196
198,"Jefferson, PA",2016,38222,44073,1702,25.89482961
199,"Juniata, PA",2011,32955,24919,1020,24.43039216
200,"Juniata, PA",2012,33488,24900,1020,24.41176471
201,"Juniata, PA",2013,34851,24777,1020,24.29117647
202,"Juniata, PA",2014,36245,24781,1020,24.29509804
203,"Juniata, PA",2015,38620,24732,1020,24.24705882
204,"Juniata, PA",2016,38715,24863,1020,24.3754902
205,"Lackawanna, PA",2011,38921,214587,1204,178.2284053
206,"Lackawanna, PA",2012,39875,214583,1204,178.2250831
207,"Lackawanna, PA",2013,39271,213986,1204,177.7292359
208,"Lackawanna, PA",2014,40923,212963,1204,176.8795681
209,"Lackawanna, PA",2015,42650,212175,1204,176.2250831
210,"Lackawanna, PA",2016,43616,211321,1204,175.5157807
211,"Lancaster, PA",2011,39123,523689,2549,205.4488035
212,"Lancaster, PA",2012,40289,526864,2549,206.69439
213,"Lancaster, PA",2013,40833,530189,2549,207.9988231
214,"Lancaster, PA",2014,42959,533650,2549,209.3566104
215,"Lancaster, PA",2015,45106,536349,2549,210.415457
216,"Lancaster, PA",2016,45839,538500,2549,211.2593174
217,"Lawrence, PA",2011,36124,90322,940,96.08723404
218,"Lawrence, PA",2012,37232,89713,940,95.4393617
219,"Lawrence, PA",2013,37132,89120,940,94.80851064
220,"Lawrence, PA",2014,38288,88476,940,94.12340426
221,"Lawrence, PA",2015,39276,88036,940,93.65531915
222,"Lawrence, PA",2016,40061,87294,940,92.86595745
223,"Lebanon, PA",2011,38671,134482,940,143.0659574
224,"Lebanon, PA",2012,39340,135633,940,144.2904255
225,"Lebanon, PA",2013,40132,135866,940,144.5382979
226,"Lebanon, PA",2014,41459,136657,940,145.3797872
227,"Lebanon, PA",2015,43295,137729,940,146.5202128
