"","geoname","county","year","X","incper","popdens","DO","urbanrural","incper2","incper3","SCI","sci2","sci3"
"122","ARPA","McKean, PA",2012,122,37789,16.96116124,8.827071823,0,1428008521,53963014000069,0.840821741208601,0.706981200489064,0.594445163996961
"123","ARPA","McKean, PA",2013,123,38228,16.80816006,9.389473684,0,1461379984,55865634028352,0.860326007680713,0.740160839491835,0.636779620081616
"124","ARPA","McKean, PA",2014,124,39509,16.739898,9.33923445,0,1560961081,61672011349229,0.86033184077815,0.74017087625672,0.63679257246032
"125","ARPA","McKean, PA",2015,125,39217,16.64025108,9.137948718,0,1537973089,60314690631313,0.85125164916612,0.724629370208039,0.616841946423801
"126","ARPA","McKean, PA",2016,126,39416,16.43114947,8.872857143,0,1553621056,61237527543296,0.85125164916612,0.724629370208039,0.616841946423801
"74","BCC","Delaware, PA",2011,74,50869,1129.482828,9.896071429,1,2587655161,131631430384909,0.265522443192398,0.0705021678388602,0.0187199078549347
"75","BCC","Delaware, PA",2012,75,53088,1132.99798,9.858477509,1,2818335744,149619807977472,0.267102416695998,0.0713437010048427,0.0190560749544302
"77","BCC","Delaware, PA",2013,77,53376,1134.220202,10.0265233,1,2848997376,152068083941376,0.261525117295364,0.0683953869763538,0.0178871116014527
"79","BCC","Delaware, PA",2014,80,55705,1136.529293,10.10070922,1,3103047025,172855234527625,0.2484692675951,0.0617369769392456,0.01533974144363
"82","BCC","Delaware, PA",2015,81,58119,1138.022222,9.697491039,1,3377818161,196315413699159,0.241580913795384,0.0583613379102126,0.0140989853426703
"83","BCC","Delaware, PA",2016,83,59594,1138.185859,9.941780822,1,3551444836,211644803556584,0.241580913795384,0.0583613379102126,0.0140989853426703
"109","BRW","Lawrence, PA",2011,109,36124,96.08723404,8.322110553,0,1304943376,47139774514624,0.659465429187078,0.434894652292896,0.2867979885255
"110","BRW","Lawrence, PA",2012,110,37232,95.4393617,7.493670886,0,1386221824,51611810951168,0.685965037488454,0.470548032656536,0.322779498861359
"111","BRW","Lawrence, PA",2013,111,37132,94.80851064,8.471078431,0,1378785424,51197060363968,0.718548607922661,0.516312101947594,0.370995342108066
"112","BRW","Lawrence, PA",2014,112,38288,94.12340426,8.485204082,0,1465970944,56129095503872,0.730003057482453,0.532904463933729,0.38902188801767
"113","BRW","Lawrence, PA",2015,113,39276,93.65531915,8.069417476,0,1542604176,60587321616576,0.713137071507338,0.508564482758062,0.362676185906728
"114","BRW","Lawrence, PA",2016,114,40061,92.86595745,7.802912621,0,1604883721,64293246746981,0.713137071507338,0.508564482758062,0.362676185906728
"43","CCZ","Beaver, PA",2011,43,38637,148.133913,9.228643216,1,1492817769,57678000140853,0.629054130680612,0.395709099326341,0.248922443479139
"45","CCZ","Beaver, PA",2012,45,39917,148.0434783,8.486227545,1,1593366889,63602426108213,0.634548930884874,0.402652345687137,0.25550261547406
"48","CCZ","Beaver, PA",2013,47,40152,147.8652174,8.998295455,1,1612183104,64732375991808,0.621517124035543,0.386283535469412,0.240081832027231
"50","CCZ","Beaver, PA",2014,49,41421,147.2973913,9.400980392,1,1715699241,71065978261461,0.611869249060491,0.37438397794585,0.229074043446007
"51","CCZ","Beaver, PA",2015,51,42909,146.8765217,8.904347826,1,1841182281,79003290495429,0.591239231567539,0.349563828944574,0.206675849608997
"53","CCZ","Beaver, PA",2016,53,43659,145.5904348,8.587864078,1,1906108281,83218781440179,0.591239231567539,0.349563828944574,0.206675849608997
"139","DRB","Philadelphia, PA",2011,139,41662,4159.518919,8.504247104,1,1735722244,72313660129528,0.278043821520459,0.077308366685701,0.0214951137087973
"140","DRB","Philadelphia, PA",2012,140,44906,4190.213514,7.030923695,1,2016548836,90555142029416,0.274505054362185,0.0753530248703864,0.0206847861884005
"141","DRB","Philadelphia, PA",2013,141,46614,4205.048649,7.225984252,1,2172864996,101285928923544,0.262060530013036,0.0686757213907132,0.0179971959466779
"142","DRB","Philadelphia, PA",2014,142,48311,4217.862162,7.646428571,1,2333952721,112755589904231,0.254945965402513,0.0649974452750193,0.0165708364343368
"143","DRB","Philadelphia, PA",2015,143,49797,4229.632432,7.264754098,1,2479741209,123483672984573,0.239348750068277,0.0572878241592465,0.0137117691066469
"144","DRB","Philadelphia, PA",2016,144,51645,4237.491892,6.616,1,2667206025,137747855161125,0.239348750068277,0.0572878241592465,0.0137117691066469
"73","DRC","Delaware, PA",2011,73,50869,1129.482828,7.634322034,1,2587655161,131631430384909,0.265522443192398,0.0705021678388602,0.0187199078549347
"76","DRC","Delaware, PA",2012,76,53088,1132.99798,6.734599156,1,2818335744,149619807977472,0.267102416695998,0.0713437010048427,0.0190560749544302
"78","DRC","Delaware, PA",2013,78,53376,1134.220202,7.474166667,1,2848997376,152068083941376,0.261525117295364,0.0683953869763538,0.0178871116014527
"80","DRC","Delaware, PA",2014,79,55705,1136.529293,7.849819495,1,3103047025,172855234527625,0.2484692675951,0.0617369769392456,0.01533974144363
"81","DRC","Delaware, PA",2015,82,58119,1138.022222,8.628658537,1,3377818161,196315413699159,0.241580913795384,0.0583613379102126,0.0140989853426703
"84","DRC","Delaware, PA",2016,84,59594,1138.185859,7.504347826,1,3551444836,211644803556584,0.241580913795384,0.0583613379102126,0.0140989853426703
"56","EBBC","Chester, PA",2011,56,64442,255.9207317,9.755052265,1,4152771364,267612892238888,0.3289458105646,0.108205346288002,0.0355936953421301
"57","EBBC","Chester, PA",2012,58,67880,257.2550813,9.587900356,1,4607694400,312770295872000,0.332574812422913,0.110606005858136,0.0367847716511171
"60","EBBC","Chester, PA",2013,59,68073,258.8394309,9.984115523,1,4633933329,315445743505017,0.329906723225855,0.108838446029621,0.0359065350906263
"61","EBBC","Chester, PA",2014,61,71861,260.6194106,10.27169118,1,5164003321,371090442650381,0.333972202604008,0.111537432112173,0.0372504018752974
"64","EBBC","Chester, PA",2015,64,74825,261.8155488,9.883571429,1,5598780625,418928760265625,0.322618799550205,0.104082889823215,0.0335790969684819
"65","EBBC","Chester, PA",2016,65,75281,262.3536585,9.684671533,1,5667228961,426634663413041,0.322618799550205,0.104082889823215,0.0335790969684819
"67","KCCF","Clinton, PA",2011,67,32004,16.9905417,10.1625,0,1024256016,32780289536064,0.636257565802591,0.404823690041039,0.257572135604734
"68","KCCF","Clinton, PA",2012,68,33188,17.08512468,9.955371901,0,1101443344,36554701700672,0.672980881301305,0.452903266597082,0.304795239498744
"69","KCCF","Clinton, PA",2013,69,33632,17.13413586,10.1264574,0,1131111424,38041539411968,0.654251195089003,0.428044626275388,0.280048708292098
"70","KCCF","Clinton, PA",2014,70,35697,16.97936371,10.3884,0,1274275809,45487823553873,0.641799678263685,0.41190682701937,0.264361669055647
