"","X","geoname","county","year","incper","popdens","DO","urbanrural"
"83",36,"ARLD","Armstrong, PA",2015,39789,38.92616279,9.123626374,0
"84",42,"ARLD","Armstrong, PA",2016,40522,38.65465116,8.539010989,0
"85",16,"ARBLD","Armstrong, PA",2011,38427,39.90988372,8.714285714,0
"86",20,"ARBLD","Armstrong, PA",2012,38448,39.74825581,8.603355705,0
"87",23,"ARBLD","Armstrong, PA",2013,38547,39.59011628,8.63021978,0
"88",28,"ARBLD","Armstrong, PA",2014,39980,39.3372093,9.111731844,0
"89",33,"ARBLD","Armstrong, PA",2015,39789,38.92616279,8.789385475,0
"90",41,"ARBLD","Armstrong, PA",2016,40522,38.65465116,8.688372093,0
"91",14,"ARLF","Armstrong, PA",2011,38427,39.90988372,8.336690647,1
"92",19,"ARLF","Armstrong, PA",2012,38448,39.74825581,8.395205479,1
"93",24,"ARLF","Armstrong, PA",2013,38547,39.59011628,8.67032967,1
"94",32,"ARLF","Armstrong, PA",2014,39980,39.3372093,9.141477273,1
"95",37,"ARLF","Armstrong, PA",2015,39789,38.92616279,8.667039106,1
"96",39,"ARLF","Armstrong, PA",2016,40522,38.65465116,8.261849711,1
"97",17,"ARBD","Armstrong, PA",2011,38427,39.90988372,8.668666667,1
"98",22,"ARBD","Armstrong, PA",2012,38448,39.74825581,8.549342105,1
"99",25,"ARBD","Armstrong, PA",2013,38547,39.59011628,8.766483516,1
"100",29,"ARBD","Armstrong, PA",2014,39980,39.3372093,9.142134831,1
"101",34,"ARBD","Armstrong, PA",2015,39789,38.92616279,8.885875706,1
"102",38,"ARBD","Armstrong, PA",2016,40522,38.65465116,8.254385965,1
"103",157,"ARCWBY","Westmoreland, PA",2011,41964,135.8527767,8.287428571,1
"104",158,"ARCWBY","Westmoreland, PA",2012,43811,135.3630265,8.166037736,1
"105",159,"ARCWBY","Westmoreland, PA",2013,43180,134.6071562,8.38,1
"106",160,"ARCWBY","Westmoreland, PA",2014,44955,133.9537831,9.304672897,1
"107",161,"ARCWBY","Westmoreland, PA",2015,46388,133.3205367,8.466120219,1
"108",162,"ARCWBY","Westmoreland, PA",2016,47096,132.4852777,7.648913043,1
"109",97,"SFTCJ","Greene, PA",2011,37041,2.650065531,9.034814815,1
"110",98,"SFTCJ","Greene, PA",2012,39719,2.625577706,9.111578947,1
"111",99,"SFTCJ","Greene, PA",2013,41402,2.611712768,8.801058201,1
"112",100,"SFTCJ","Greene, PA",2014,44703,2.606263365,8.891037736,1
"113",101,"SFTCJ","Greene, PA",2015,43816,2.582465338,8.878773585,1
"114",102,"SFTCJ","Greene, PA",2016,42565,2.565841209,8.250581395,1
"115",1,"MRE","Allegheny, PA",2011,48192,636.0284974,8.017045455,1
"116",3,"MRE","Allegheny, PA",2012,49845,637.7419689,7.861748634,1
"117",5,"MRE","Allegheny, PA",2013,50096,639.1870466,8.230357143,1
"118",7,"MRE","Allegheny, PA",2014,52008,638.6870466,8.642574257,1
"119",10,"MRE","Allegheny, PA",2015,54396,636.9419689,8.284153005,1
"120",12,"MRE","Allegheny, PA",2016,54796,634.9041451,8.524423963,1
"121",145,"YRDOT","Somerset, PA",2011,34170,27.63464286,7.587978142,0
"122",146,"YRDOT","Somerset, PA",2012,34759,27.56821429,7.731147541,0
"123",147,"YRDOT","Somerset, PA",2013,34597,27.4175,7.575274725,0
"124",148,"YRDOT","Somerset, PA",2014,35625,27.26214286,7.82994012,0
"125",149,"YRDOT","Somerset, PA",2015,36555,27.0175,7.451111111,0
"126",150,"YRDOT","Somerset, PA",2016,37250,26.8075,7.517857143,0
"127",91,"YRBC","Fayette, PA",2011,34613,65.81132075,8.8,0
"128",92,"YRBC","Fayette, PA",2012,35447,65.53652637,8.587878788,0
"129",93,"YRBC","Fayette, PA",2013,35791,65.24770198,8.81910828,0
"130",94,"YRBC","Fayette, PA",2014,36803,65.01015965,8.689240506,0
"131",95,"YRBC","Fayette, PA",2015,38085,64.6850508,8.575141243,0
"132",96,"YRBC","Fayette, PA",2016,38960,64.21528786,8.790217391,0
"133",2,"YRAS","Allegheny, PA",2011,48192,636.0284974,8.912571429,1
"134",4,"YRAS","Allegheny, PA",2012,49845,637.7419689,8.46125,1
"135",6,"YRAS","Allegheny, PA",2013,50096,639.1870466,8.822222222,1
"136",8,"YRAS","Allegheny, PA",2014,52008,638.6870466,9.252513966,1
"137",9,"YRAS","Allegheny, PA",2015,54396,636.9419689,8.748603352,1
"138",11,"YRAS","Allegheny, PA",2016,54796,634.9041451,9.514925373,1
"139",109,"BRW","Lawrence, PA",2011,36124,96.08723404,8.322110553,0
"140",110,"BRW","Lawrence, PA",2012,37232,95.4393617,7.493670886,0
"141",111,"BRW","Lawrence, PA",2013,37132,94.80851064,8.471078431,0
"142",112,"BRW","Lawrence, PA",2014,38288,94.12340426,8.485204082,0
"143",113,"BRW","Lawrence, PA",2015,39276,93.65531915,8.069417476,0
"144",114,"BRW","Lawrence, PA",2016,40061,92.86595745,7.802912621,0
"145",43,"CCZ","Beaver, PA",2011,38637,148.133913,9.228643216,1
"146",45,"CCZ","Beaver, PA",2012,39917,148.0434783,8.486227545,1
"147",47,"CCZ","Beaver, PA",2013,40152,147.8652174,8.998295455,1
"148",49,"CCZ","Beaver, PA",2014,41421,147.2973913,9.400980392,1
"149",51,"CCZ","Beaver, PA",2015,42909,146.8765217,8.904347826,1
"150",53,"CCZ","Beaver, PA",2016,43659,145.5904348,8.587864078,1
"151",44,"ORMDL","Beaver, PA",2011,38637,148.133913,8.916564417,1
"152",46,"ORMDL","Beaver, PA",2012,39917,148.0434783,8.843062201,1
"153",48,"ORMDL","Beaver, PA",2013,40152,147.8652174,8.896174863,1
"154",50,"ORMDL","Beaver, PA",2014,41421,147.2973913,9.272826087,1
"155",52,"ORMDL","Beaver, PA",2015,42909,146.8765217,8.651685393,1
"156",54,"ORMDL","Beaver, PA",2016,43659,145.5904348,8.935211268,1
"157",85,"WCUPE","Erie, PA",2011,36753,135.9096182,9.05125,1
"158",86,"WCUPE","Erie, PA",2012,37866,136.0758821,10.15565611,1
"159",87,"WCUPE","Erie, PA",2013,37626,135.6273562,10.28673469,1
"160",88,"WCUPE","Erie, PA",2014,38808,134.9690672,9.760732984,1
"161",89,"WCUPE","Erie, PA",2015,40186,134.3895602,9.439393939,1
"162",90,"WCUPE","Erie, PA",2016,40764,133.497825,9.359782609,1
